id,name,type,kosher,rest_price_level,city,address
80347550,סמי בייקרי,קונדיטוריה ומאפיות,FALSE,,חיפה,דרך יפו 137
80280542,לוקה - LUCCA,גלידריות,FALSE,1,חיפה,מסדה 1
80250491,קפה Mish-Mish - Mish-Mish,בתי קפה,FALSE,1,חיפה,שד' ההסתדרות 58
80341366,WOW BURGER קריות,,FALSE,,חיפה,"אח""י אילת 55"
80349412,אוכל של אריה באהבה,מטבח ביתי,FALSE,,חיפה,חיפה
80267518,מנצ'ס חיפה - MENCHES,מסעדת בשרים,FALSE,,חיפה,שד' בן גוריון 6
80277085,שיפודי אודי,מסעדת בשרים,TRUE,2,חיפה,שד' ההסתדרות 247
80235409,ארומה - אספרסו בר,בתי קפה,TRUE,1,חיפה,חיפה
80267462,ארקפה Arcaffe חיפה - Arcaffe,בתי קפה,FALSE,,חיפה,אוסקר שינדלר 7
7135450,קונדיטוריה שני,בתי קפה,TRUE,2,חיפה,דרך העצמאות 53
65667640,פלאפל זהר חיפה,,FALSE,,חיפה,שד' טרומפלדור 51
80322614,שאוורמה אייל,,FALSE,,חיפה,האשלג 3
80265259,enkidu - Enkidu,פאבים וברים,FALSE,,חיפה,נתנזון 14
80354298,מאיה בשרים,מטבח ביתי,FALSE,,חיפה,דרור 24
80248814,אותנטבעי,מסעדה טבעונית,FALSE,,חיפה,סירקין 27
80344279,סבתוש,,FALSE,,חיפה,העמלים 1
80354681,גריל בר,,FALSE,,חיפה,הנמל 27
80345390,Good Bagutteג'וד בגט,,FALSE,,חיפה,עודה נדה 1
80067338,סליק - sleek,פאבים וברים,FALSE,2,חיפה,שד' הנשיא 124
80332438,סינטה בר חיפה,מסעדת בשרים,FALSE,,חיפה,חיפה
80101364,הוואנה פלוס - Havana Plus,פאבים וברים,FALSE,2,חיפה,שד' בן גוריון 12
80260122,אינסייד אאוט סושי בר - InsideOut,מסעדה אסייאתית,FALSE,,חיפה,מסדה 19
80113103,קפה עלית-אספרסו בר,בתי קפה,TRUE,1,חיפה,שד' אבא חושי 199
80322073,קאסה איטליאנו צומת קריית אתא,מסעדה איטלקית,FALSE,,חיפה,חלוצי התעשייה 2
80325105,פייצוציית צאנס,בתי קפה,FALSE,,חיפה,חיפה
80352158,פלאפל חזן,חומוסייה,FALSE,,חיפה,שד' ההסתדרות 58
80329192,באר וונג אוכל אסיאתי,מטבח ביתי,FALSE,,חיפה,חיפה
75130620,לי-גיא גורמה,,FALSE,,חיפה,סטפן וויז 1
80332594,קוקוריצה,מטבח ביתי,FALSE,,חיפה,חיפה
80339108,המזנון של אלם,,FALSE,,חיפה,מסדה 47
80329272,לה-דולצה,פיצריות,FALSE,,חיפה,חיפה
80340646,חביתנה,,FALSE,,חיפה,דרך העצמאות 39
80335617,השווארמה של גדי,,FALSE,,חיפה,"אח""י אילת 11"
80330778,זיגמנס בית של גלידה,גלידריות,FALSE,,חיפה,חיפה
80332226,שווארמה ותבשילי דליה,מטבח ביתי,FALSE,,חיפה,האשלג 3
80352549,היידה,,FALSE,,חיפה,ככר מאירהוף 6
80034680,טעם החיים- קייטרינג,,FALSE,,חיפה,הלל 27
80333984,אוכל תאילנדי אותנטי,מטבח ביתי,FALSE,,חיפה,חיפה
80322393,ההמבורגר של הדיקטטור חיפה,,FALSE,,חיפה,"אח""י אילת 19"
80280047,מומו -MOMO,ביסטרו,FALSE,2,חיפה,"אח""י אילת 7"
80291657,פטריק'ס - PATRICK'S,פאבים וברים,FALSE,2,חיפה,שד' ההסתדרות 248
80357485,טקסי פיצה,פיצריות,TRUE,1,חיפה,התיכון 37
7208390,אצל בני,מסעדה מזרחית,TRUE,,חיפה,החלוץ 23
80260862,קייטרינג מאכלי השף,קייטרינג,TRUE,,חיפה,התיכון 19
80332131,גילטו מונדו,גלידריות,FALSE,,חיפה,דרך יפו 19
80258781,דרך הגריל,קייטרינג,FALSE,,חיפה,חיפה
80366921,קפה VERDI,בתי קפה,FALSE,,חיפה,חיפה
80331403,סושילי SUSHILI,מטבח ביתי,FALSE,,חיפה,חיפה
80114626,בשרלה,מסעדת בשרים,FALSE,,חיפה,"אח""י אילת 61"
80349518,מסאנא,,FALSE,,חיפה,חיפה
80134648,פיצה מאנצ',פיצריות,FALSE,1,חיפה,"אח""י אילת 55"
80344294,הנשיא 69,,FALSE,,חיפה,שד' הנשיא 69
80365570,Vardi Bar,בתי קפה,FALSE,,חיפה,חיפה
80236130,חומוס אליהו,חומוסייה,TRUE,1,חיפה,משה דיין 2
80205526,בורגרים - Burgerim,מסעדת המבורגרים,TRUE,1,חיפה,אלמוג 20
80351383,בורגר סאלון,מסעדת המבורגרים,FALSE,,חיפה,פנחס ואברהם רוטנברג 2
80309749,במבוק,מסעדת בשרים,FALSE,,חיפה,האשלג 3
80365568,הג'חנון של חן,,FALSE,,חיפה,חיפה
80333115,בייקרס פיצה,פיצריות,FALSE,,חיפה,"אח""י אילת 19"
80250500,פיצה פלוס,פיצריות,TRUE,1,חיפה,משה חיים שפירא 12
80336359,מאיר בעל הטעמים,,FALSE,,חיפה,נתיב חכמי ישראל 1
66234250,לחם ארז,בתי קפה,TRUE,1,חיפה,דרך שמחה גולן 54
80360299,כל טוב,קייטרינג,FALSE,,חיפה,חיפה
80367888,Bagira,,FALSE,,חיפה,חיפה
80222165,קפה לנדוור,בתי קפה,TRUE,,חיפה,דרך בר יהודה 111
80241703,רודיאו,פאבים וברים,FALSE,2,חיפה,בלפור 23
7197730,כשר וטעים,מטבח ביתי,TRUE,,חיפה,הרצל 40
80282920,פרשפוינט,גלידריות,TRUE,1,חיפה,פלימן משה 4
80358572,פאני פיצה,פיצריות,FALSE,,חיפה,החלוץ 38
80124125,צפרירים 1,פאבים וברים,FALSE,,חיפה,צפרירים 1
80283205,גוד פוד - Good food,קייטרינג,FALSE,,חיפה,שד' אבא חושי 13
63000650,מנדרין,בתי קפה,FALSE,,חיפה,שד' מוריה 117
80203759,נפוליאון סושי בר - Napoleon Sushi Bar,מסעדה יפנית,TRUE,1,חיפה,שכ' קרית הטכניון
80319602,פיצה פדאל חיפה קרית אליעזר,פיצריות,TRUE,,חיפה,ככר מאירהוף 3
80304962,beatrice burger,מסעדת בשרים,FALSE,,חיפה,נתנזון 11
80246138,Moonshiners - Moonshiners,פאבים וברים,FALSE,,חיפה,קהילת סלוניקי 1
80322855,נקסט דור,פאבים וברים,FALSE,,חיפה,שער פלמר 1
4512780,צ'יינה ביי,מסעדה אסייאתית,TRUE,1,חיפה,שד' הנשיא 101
80346313,הבאניה Suchi's_way,,FALSE,,חיפה,אילת 10
80251479,חומוס הבוטקה,חומוסייה,FALSE,1,חיפה,חלוצי התעשייה 94
80304736,פאצ'ה מאמא - pachamama,מסעדה דרום אמריקאית,FALSE,2,חיפה,הנמל 27
80320206,קפה דיומא,בתי קפה,FALSE,,חיפה,שד' הנשיא 119
80237475,פיצה אמאזונס,פיצריות,TRUE,1,חיפה,גדליהו 6
80366589,סטפן שניצך,,FALSE,,חיפה,חיפה
