min for pruning,max depth,min samples leaf,train acc,train MSE,valid acc,valid MSE
25,10,0.15,0.902150437210369,171.15241776906197,0.8736035457572834,278.6184802195279
25,10,0.2,0.9054335029490354,164.00895757001427,0.8771050905522223,274.3217953958979
25,10,0.25,0.9052130113526056,165.52112775970937,0.8734598968536448,287.018192623813
25,12,0.1,0.8983805700103336,182.55355082273005,0.8719252894707304,283.469433175522
25,12,0.15,0.9037084395846294,164.64964316189685,0.8730508378919637,279.10924035317703
25,12,0.2,0.9064021314076081,160.62249654415834,0.8773266063666117,273.70743390223316
25,12,0.25,0.9054062652390609,164.79277788665607,0.873637998471613,286.2199629444776
25,15,0.1,0.9027087054387518,169.38736884558998,0.8732189941476902,280.6693382019884
25,15,0.15,0.9060394226504792,157.95904917052457,0.8735740887671058,279.79247999827237
25,15,0.2,0.9067096382807598,159.97355630621024,0.8772345361612789,273.87353573684953
25,15,0.25,0.9054648354103856,164.67164591623876,0.8734661922300726,286.91204209418413
50,3,0.1,0.8763672236079957,264.50228190711215,0.8743250389248317,271.9370204185214
50,3,0.15,0.8758216795398349,264.1419114246817,0.8741442689592585,270.39365187628954
50,3,0.2,0.8782497461545228,256.3586647776732,0.8760660356942731,264.43839051866314
50,3,0.25,0.880449587240415,250.49008926829706,0.8790988458561342,256.81449501012514
50,5,0.1,0.8818392404645531,239.5445259082529,0.8754534170234741,268.11029061039096
50,5,0.15,0.8849774303214227,229.49513351747092,0.8775998959816503,265.2959942621537
50,5,0.2,0.8879141755738378,222.0778318044379,0.8807990214027971,254.3708887789002
50,5,0.25,0.8909490782789241,214.66480337973985,0.8807952725484831,258.52399117592347
50,8,0.1,0.886615845451668,221.80461657199015,0.8749735908270404,269.9540714366076
50,8,0.15,0.8920114943707864,204.52416117810438,0.8790717175006412,259.9010477413566
50,8,0.2,0.8946776987364415,199.4885304168862,0.880914059424042,255.5845843133553
50,8,0.25,0.8937985024365472,201.27482355593565,0.8793780794613426,262.3523683008049
50,10,0.1,0.8889378145092112,213.1019769773853,0.8742555221713271,274.11825927841545
50,10,0.15,0.8933315998463348,200.57057427228875,0.8786002301913642,261.83688787454196
50,10,0.2,0.8951150316004274,198.12467160687203,0.8811324441037371,255.5627921108309
50,10,0.25,0.8939386946852528,201.0833443482422,0.8794111022811988,262.0201857046744
50,12,0.1,0.8906318256049666,207.54935094121797,0.8750702955317763,271.9841624779969
50,12,0.15,0.8936822415202699,199.20103106977723,0.878263749774503,263.1550393695609
50,12,0.2,0.8953301676051642,197.52249588915427,0.8809497928866181,256.6006782702099
50,12,0.25,0.8939386946852528,201.0833443482422,0.8794111022811988,262.0201857046744
50,15,0.1,0.8934095213567644,199.30401858579506,0.876248547575392,269.4175453506639
50,15,0.15,0.8944500347159845,197.00739189538896,0.8788063659358482,262.5003165668265
50,15,0.2,0.8953301676051642,197.52249588915427,0.8809497928866181,256.6006782702099
50,15,0.25,0.8939386946852528,201.0833443482422,0.8794111022811988,262.0201857046744
65,3,0.1,0.8763672236079957,264.50228190711215,0.8743250389248317,271.9370204185214
65,3,0.15,0.8758216795398349,264.1419114246817,0.8741442689592585,270.39365187628954
65,3,0.2,0.8782497461545228,256.3586647776732,0.8760660356942731,264.43839051866314
65,3,0.25,0.880449587240415,250.49008926829706,0.8790988458561342,256.81449501012514
65,5,0.1,0.881099355305708,242.09028798093323,0.8752902309950041,268.38500369158106
65,5,0.15,0.8843211427301221,232.242407768166,0.8771685364336188,266.5807505166018
65,5,0.2,0.8872654415225231,224.71641014143134,0.8801812441688683,256.88951070525343
65,5,0.25,0.8901993862280404,217.90424724371297,0.8812304810243358,257.24053652121063
65,8,0.1,0.8844440675884699,228.8526665610729,0.8749132543828251,269.6770936494114
65,8,0.15,0.8894353128559777,213.24867943170278,0.8784392175431464,260.5823537839192
65,8,0.2,0.8920248755679353,208.7166760606649,0.8802935653184795,256.97877646113335
65,8,0.25,0.8914479041556668,210.24566889115877,0.8795128978828404,260.91359604653974
65,10,0.1,0.8863049753745953,221.81802125393588,0.874740010672045,271.00551634226764
65,10,0.15,0.8901140555696792,211.1651631757805,0.8781996628701656,261.2688707936167
65,10,0.2,0.8920781929621912,208.5362516396393,0.8801684674376913,257.5398105048765
65,10,0.25,0.8914959124815061,210.2326335201904,0.8795377328941367,260.68243874172333
65,12,0.1,0.8876133413779377,217.68217884335382,0.8755868597361044,268.3856076995031
65,12,0.15,0.8902158989361972,210.58530806656313,0.8781198538161696,261.30393138273155
65,12,0.2,0.8920652243494889,208.54908889896,0.8802090765954043,257.44518937761524
65,12,0.25,0.8914959124815061,210.2326335201904,0.8795377328941367,260.68243874172333
65,15,0.1,0.8900354620527654,211.12371651561156,0.8766576490310591,266.52086726051897
65,15,0.15,0.8907923549416497,209.09822534571754,0.8786732883430328,260.46001288499934
65,15,0.2,0.8920652243494889,208.54908889896,0.8802090765954043,257.44518937761524
65,15,0.25,0.8914959124815061,210.2326335201904,0.8795377328941367,260.68243874172333
