dine_in,delivery,reservable,serves_beer,serves_breakfast,serves_brunch,serves_dinner,serves_lunch,serves_vegetarian_food,serves_wine,takeout,wheelchair_accessible_entrance,curbside_pickup,place_id,name,rating,price_level,user_ratings_total,website,city,street,street_number,full_address,geo_location,sunday_activity_hours,monday_activity_hours,tuesday_activity_hours,wednesday_activity_hours,thursday_activity_hours,friday_activity_hours,saturday_activity_hours,open_activity_hour,close_activity_hour,open_on_saturday
,,,,,,,,,,,,,ChIJaWrvF5W7HRURwZ5hT1cD5DA,אולם אירועים אורות המושבה,1.0,,1,False,חיפה,טשרניחובסקי,69,"טשרניחובסקי 69, חיפה","{'lat': 32.8245614, 'lng': 34.9705137}",,,,,,,,,,
True,,True,,,,True,True,,,True,True,,ChIJ_____6i7HRURG3cdr2-LH_o,"בורגרים חיפה רמת הנשיא, כשר בשר חלק",4.1,2.0,63,True,חיפה,אלמוג,20,"אלמוג 20, חיפה","{'lat': 32.8127736, 'lng': 34.9610985}","[660, 1380]","[660, 1380]","[660, 1380]","[660, 1380]","[660, 1380]","[660, 870]","[1080, 1380]",660.0,1380.0,True
True,True,True,True,False,,True,True,,,True,True,,ChIJAwPbEpu7HRURAsOfqeYIun4,בורגרים - רמת הנשיא,4.1,2.0,314,True,חיפה,שונית,12,"שונית 12, חיפה","{'lat': 32.812489, 'lng': 34.96094600000001}","[600, 1380]","[600, 1380]","[600, 1380]","[600, 1380]","[600, 1380]","[600, 930]","[1230, 1380]",600.0,1380.0,False
True,,True,,,,,,,,,,,ChIJ_yg4aZW7HRURcqfyDakB0WU,סדנת בישול הודי,5.0,,3,False,חיפה,טשרניחובסקי,63,"טשרניחובסקי 63, חיפה","{'lat': 32.8240841, 'lng': 34.9717711}",,,,,,,,,,
True,,True,True,False,,True,True,True,True,True,True,True,ChIJ4ZJN7um7HRURjA-9rLMjJDQ,מסעדת שוואטינא - בת גלים,4.4,2.0,3098,True,חיפה,העלייה השנייה,96,"העלייה השנייה 96, חיפה","{'lat': 32.8313784, 'lng': 34.97044200000001}","[720, 1380]","[720, 1380]","[720, 1380]","[720, 1380]","[720, 1380]","[720, 1380]","[720, 1380]",720.0,1380.0,True
True,True,True,True,,,True,True,True,,True,True,True,ChIJO-XkJ0G7HRURlvspTP4hIvg,טקסי בורגה - Taxi Burga,4.9,,68,True,חיפה,העלייה השנייה,96,"העלייה השנייה 96, חיפה","{'lat': 32.8313908, 'lng': 34.9704919}","[720, 1440]","[720, 1440]","[720, 1440]","[720, 1440]","[720, 1500]","[720, 1560]","[720, 1500]",720.0,1452.0,True
True,True,True,True,False,True,True,True,True,True,True,,,ChIJ5_2rhem7HRURMFCPzcelXXE,איטליאנו דה לה קוסטה,4.5,2.0,5996,True,חיפה,העלייה השנייה,96,"העלייה השנייה 96, חיפה","{'lat': 32.8313908, 'lng': 34.9704919}","[720, 1380]","[720, 1380]","[720, 1380]","[720, 1380]","[720, 1380]","[720, 1380]","[720, 1380]",720.0,1380.0,True
True,,True,True,,,True,True,True,True,True,True,,ChIJYyP5yMC7HRURnKp9DUQjSHo,נג׳מה - Najma,4.5,3.0,728,True,חיפה,העלייה השנייה,96,"העלייה השנייה 96, חיפה","{'lat': 32.8313435, 'lng': 34.9708229}","[720, 1380]","[720, 1380]","[720, 1380]","[720, 1380]","[720, 1380]","[720, 1380]","[720, 1380]",720.0,1380.0,True
True,,,,,,,,,,True,,,ChIJW6vrar67HRURgAD2iOLT8jE,Юбилеи Lev Kosyakovsky,4.8,,4,False,חיפה,טשרניחובסקי,39,"טשרניחובסקי 39, חיפה","{'lat': 32.8198359, 'lng': 34.9737299}",,,,,,,,,,
True,,True,True,,,True,True,,True,True,,,ChIJ-62TCr67HRURO2gYvC5TabM,מסעדה צרפתית,4.7,,19,False,חיפה,טשרניחובסקי,39,"טשרניחובסקי 39, חיפה","{'lat': 32.8200084, 'lng': 34.9739702}","[720, 1380]","[720, 1380]","[720, 1380]","[720, 1380]","[720, 1380]","[720, 1380]","[720, 1380]",720.0,1380.0,True
True,,True,True,True,True,True,True,,True,True,True,,ChIJEZ8Xu7K7HRUR8ipcoZ5Eq7g,Zebra,4.5,2.0,387,False,חיפה,טשרניחובסקי,39,"טשרניחובסקי 39, חיפה","{'lat': 32.8198992, 'lng': 34.9740512}","[-1, -1]","[540, 1380]","[540, 1380]","[540, 1380]","[540, 1380]","[540, 1380]","[540, 1380]",431.8,1103.8,True
True,True,,,True,,True,True,,,True,True,,ChIJRXRwFry7HRURDsr3zsRmz5s,פלאפל אטיאס,4.5,,38,True,חיפה,המלך חזקיהו,9,"המלך חזקיהו 9, חיפה","{'lat': 32.80881109999999, 'lng': 34.9605712}","[540, 1050]","[540, 1050]","[540, 1050]","[540, 1050]","[540, 1050]","[-1, -1]","[-1, -1]",540.0,1050.0,False
True,,,,,,,,,,True,,,ChIJHeyCr027HRUR0IpHBIe6BUc,סטקיית המחנה,4.8,,13,False,חיפה,המלך חזקיהו,4,"המלך חזקיהו 4, חיפה","{'lat': 32.808346, 'lng': 34.96019100000001}","[630, 1200]","[630, 1200]","[630, 1200]","[630, 1200]","[630, 1200]","[-1, -1]","[-1, -1]",630.0,1200.0,False
True,,,,,,,,,,True,,,ChIJ1wJLEXi7HRURVRG5pc2bsyY,סביח ונעמי,4.8,,12,False,חיפה,המלך יהושפט,17,"15, המלך יהושפט 17, חיפה","{'lat': 32.808379, 'lng': 34.96066380000001}","[-1, -1]","[1020, 1230]","[1020, 1230]","[1020, 1230]","[-1, -1]","[-1, -1]","[-1, -1]",611.6,737.6,False
True,,,,,,,,,,True,,,ChIJM1zlJHi7HRURtIylF7prPY8,שיפודי סביח,4.3,,9,False,חיפה,המלך יהושפט,6,"המלך יהושפט 6, חיפה","{'lat': 32.8075341, 'lng': 34.9612449}","[630, 1140]","[600, 1200]","[600, 1200]","[600, 1200]","[630, 1140]","[600, 960]","[-1, -1]",612.0,1176.0,False
True,True,True,True,True,True,True,True,True,True,True,True,True,ChIJIXLYWTG7HRURbl95nDfkwnE,Reef Cafe,4.8,1.0,154,False,חיפה,שדרות ההגנה,32,"שדרות ההגנה 32, חיפה","{'lat': 32.8303184, 'lng': 34.9770355}","[480, 1080]","[480, 1080]","[480, 1080]","[480, 1080]","[480, 1080]","[480, 900]","[-1, -1]",480.0,1080.0,False
True,,,True,,,,,,,,,,ChIJ0Zt5SN67HRUR0n02jR8VUqs,This Love Bar,2.5,,2,False,חיפה,דוד אלעזר,10,"דוד אלעזר 10, חיפה","{'lat': 32.8062029, 'lng': 34.9573171}",,,,,,,,,,
True,,True,True,,,True,True,,True,True,True,,ChIJUdWCXMC7HRURo4qWxB7AfBs,"Ewar restaurant, מסעדת בשרים בחיפה",4.1,2.0,1112,True,Haifa,David Elazar Street,10,"coral building, David Elazar Street 10, Haifa","{'lat': 32.80593880000001, 'lng': 34.9566327}","[720, 1440]","[720, 1440]","[720, 1440]","[720, 1440]","[720, 1440]","[720, 1440]","[720, 1440]",720.0,1440.0,True
True,False,True,True,True,True,True,True,,True,True,True,,ChIJ2fj89Hu7HRUR4ZFWL-ojO90,מנדרין ביץ',3.7,2.0,851,True,חיפה,דוד אלעזר,10,"דוד אלעזר 10, חיפה","{'lat': 32.80593880000001, 'lng': 34.9566327}","[510, 1500]","[510, 1500]","[510, 1500]","[510, 1500]","[510, 1500]","[510, 1500]","[510, 1500]",510.0,1500.0,True
True,True,True,True,,True,True,True,True,True,True,,,ChIJfd5NFJ67HRURkH6GPZT-91Q,Wasabi Beach ‏מסעדה סושי,3.8,,114,True,חיפה,דוד אלעזר,10,"דוד אלעזר 10, חיפה","{'lat': 32.80552670000001, 'lng': 34.95652}","[720, 1320]","[720, 1320]","[720, 1320]","[720, 1320]","[720, 1320]","[720, 1320]","[720, 1320]",720.0,1320.0,True
