station_id,geo_location
10653,"{'lat': 32.802302, 'lng': 34.993144}"
10346,"{'lat': 32.823926, 'lng': 34.983759}"
10443,"{'lat': 32.835327, 'lng': 35.058455}"
10418,"{'lat': 32.79709, 'lng': 35.012595}"
10399,"{'lat': 32.792596, 'lng': 35.013759}"
9619,"{'lat': 32.828161, 'lng': 35.069628}"
9621,"{'lat': 32.778964, 'lng': 34.997919}"
9625,"{'lat': 32.817909, 'lng': 34.987597}"
9634,"{'lat': 32.818522, 'lng': 34.976474}"
9636,"{'lat': 32.800281, 'lng': 35.007404}"
9638,"{'lat': 32.81829, 'lng': 34.970726}"
9640,"{'lat': 32.793217, 'lng': 35.007487}"
9645,"{'lat': 32.812724, 'lng': 34.980056}"
9647,"{'lat': 32.803731, 'lng': 34.999582}"
9650,"{'lat': 32.785845, 'lng': 35.024466}"
9656,"{'lat': 32.780493, 'lng': 34.995981}"
9658,"{'lat': 32.802161, 'lng': 34.999984}"
9671,"{'lat': 32.813109, 'lng': 34.968502}"
9672,"{'lat': 32.813895, 'lng': 34.967118}"
9682,"{'lat': 32.794301, 'lng': 34.998609}"
9684,"{'lat': 32.794351, 'lng': 34.993657}"
9685,"{'lat': 32.7932, 'lng': 34.99804}"
9686,"{'lat': 32.794802, 'lng': 34.995735}"
9693,"{'lat': 32.779775, 'lng': 35.013946}"
9695,"{'lat': 32.80774, 'lng': 34.978332}"
9699,"{'lat': 32.773719, 'lng': 35.013158}"
10356,"{'lat': 32.805749, 'lng': 34.995019}"
10369,"{'lat': 32.787914, 'lng': 34.99871}"
10387,"{'lat': 32.789008, 'lng': 35.015045}"
10388,"{'lat': 32.789832, 'lng': 35.011941}"
10411,"{'lat': 32.79819, 'lng': 35.014227}"
10429,"{'lat': 32.830209, 'lng': 35.058002}"
10430,"{'lat': 32.833012, 'lng': 35.059863}"
10184,"{'lat': 32.809813, 'lng': 35.070836}"
10334,"{'lat': 32.820093, 'lng': 34.99428}"
10339,"{'lat': 32.819206, 'lng': 34.990054}"
10232,"{'lat': 32.801565, 'lng': 34.979604}"
10277,"{'lat': 32.803369, 'lng': 34.97915}"
10353,"{'lat': 32.80853, 'lng': 34.99477}"
10395,"{'lat': 32.804741, 'lng': 35.000354}"
10393,"{'lat': 32.805342, 'lng': 34.998254}"
9400,"{'lat': 32.784151, 'lng': 35.000058}"
10367,"{'lat': 32.776671, 'lng': 35.006597}"
10352,"{'lat': 32.811721, 'lng': 34.99063}"
10329,"{'lat': 32.791031, 'lng': 34.986521}"
10335,"{'lat': 32.792576, 'lng': 34.987547}"
10437,"{'lat': 32.805441, 'lng': 35.001474}"
10389,"{'lat': 32.798632, 'lng': 34.998084}"
10108,"{'lat': 32.784037, 'lng': 34.992305}"
10341,"{'lat': 32.814474, 'lng': 34.993305}"
10327,"{'lat': 32.818456, 'lng': 34.989494}"
10651,"{'lat': 32.799968, 'lng': 34.994942}"
10297,"{'lat': 32.796723, 'lng': 35.019045}"
10652,"{'lat': 32.801872, 'lng': 34.99391}"
10712,"{'lat': 32.810401, 'lng': 34.972165}"
10678,"{'lat': 32.788827, 'lng': 34.993087}"
10679,"{'lat': 32.787137, 'lng': 34.993849}"
10680,"{'lat': 32.784475, 'lng': 34.99638}"
10694,"{'lat': 32.779961, 'lng': 34.992225}"
10713,"{'lat': 32.809925, 'lng': 34.972459}"
10714,"{'lat': 32.812224, 'lng': 34.97099}"
10338,"{'lat': 32.828956, 'lng': 34.978503}"
10026,"{'lat': 32.779051, 'lng': 35.007704}"
10293,"{'lat': 32.767658, 'lng': 34.996934}"
10366,"{'lat': 32.779142, 'lng': 35.004861}"
10292,"{'lat': 32.766638, 'lng': 34.987517}"
10440,"{'lat': 32.83144, 'lng': 35.054932}"
10390,"{'lat': 32.783795, 'lng': 35.022312}"
10409,"{'lat': 32.793858, 'lng': 35.013897}"
10431,"{'lat': 32.834689, 'lng': 35.061173}"
10433,"{'lat': 32.83419, 'lng': 35.057513}"
10216,"{'lat': 32.817255, 'lng': 34.967462}"
10444,"{'lat': 32.829142, 'lng': 35.058957}"
10428,"{'lat': 32.827941, 'lng': 35.060785}"
15028,"{'lat': 32.791637, 'lng': 34.969644}"
9430,"{'lat': 32.794095, 'lng': 35.013571}"
10114,"{'lat': 32.818233, 'lng': 34.972531}"
9431,"{'lat': 32.792317, 'lng': 35.015972}"
10087,"{'lat': 32.784963, 'lng': 35.022273}"
10110,"{'lat': 32.766372, 'lng': 35.00118}"
10069,"{'lat': 32.796323, 'lng': 34.982665}"
10017,"{'lat': 32.785539, 'lng': 34.989425}"
10036,"{'lat': 32.804741, 'lng': 34.971408}"
10037,"{'lat': 32.802481, 'lng': 34.987568}"
10091,"{'lat': 32.816019, 'lng': 34.977756}"
10092,"{'lat': 32.815089, 'lng': 34.975944}"
5012,"{'lat': 32.831494, 'lng': 35.066262}"
10111,"{'lat': 32.766858, 'lng': 35.003123}"
10116,"{'lat': 32.76947, 'lng': 35.004761}"
10137,"{'lat': 32.78437, 'lng': 34.990692}"
10141,"{'lat': 32.824114, 'lng': 34.99245}"
10142,"{'lat': 32.818514, 'lng': 34.971338}"
10162,"{'lat': 32.815982, 'lng': 34.996709}"
10134,"{'lat': 32.806448, 'lng': 34.970965}"
10133,"{'lat': 32.808192, 'lng': 35.003589}"
9466,"{'lat': 32.81772, 'lng': 34.959291}"
10120,"{'lat': 32.764889, 'lng': 34.98416}"
14877,"{'lat': 32.805201, 'lng': 34.964823}"
14969,"{'lat': 32.799071, 'lng': 35.002388}"
15016,"{'lat': 32.795779, 'lng': 34.957003}"
10109,"{'lat': 32.780776, 'lng': 34.997338}"
10104,"{'lat': 32.776847, 'lng': 35.001396}"
10103,"{'lat': 32.7777, 'lng': 34.990217}"
10144,"{'lat': 32.779025, 'lng': 35.002681}"
10068,"{'lat': 32.795258, 'lng': 34.978522}"
10030,"{'lat': 32.779548, 'lng': 35.001647}"
10043,"{'lat': 32.824093, 'lng': 35.071889}"
10093,"{'lat': 32.814589, 'lng': 34.97337}"
10097,"{'lat': 32.785086, 'lng': 34.980783}"
10101,"{'lat': 32.775416, 'lng': 34.993709}"
10115,"{'lat': 32.789215, 'lng': 35.013425}"
10121,"{'lat': 32.766836, 'lng': 34.981106}"
10135,"{'lat': 32.774989, 'lng': 34.99075}"
10138,"{'lat': 32.778893, 'lng': 34.982198}"
10161,"{'lat': 32.812013, 'lng': 34.99993}"
14805,"{'lat': 32.774244, 'lng': 35.011398}"
14875,"{'lat': 32.836017, 'lng': 35.054938}"
14882,"{'lat': 32.805901, 'lng': 34.991942}"
14997,"{'lat': 32.773871, 'lng': 35.004095}"
10279,"{'lat': 32.829245, 'lng': 34.974543}"
10090,"{'lat': 32.818449, 'lng': 34.975524}"
10106,"{'lat': 32.779945, 'lng': 34.996595}"
10130,"{'lat': 32.80553, 'lng': 35.005696}"
10193,"{'lat': 32.766805, 'lng': 35.011803}"
10047,"{'lat': 32.80685, 'lng': 34.966857}"
10041,"{'lat': 32.806268, 'lng': 34.967895}"
10139,"{'lat': 32.817405, 'lng': 34.974695}"
10263,"{'lat': 32.814026, 'lng': 34.992249}"
10269,"{'lat': 32.813257, 'lng': 34.994291}"
10333,"{'lat': 32.809996, 'lng': 34.990018}"
10337,"{'lat': 32.832046, 'lng': 34.980313}"
10174,"{'lat': 32.832169, 'lng': 34.978779}"
15003,"{'lat': 32.802201, 'lng': 34.991293}"
10332,"{'lat': 32.807527, 'lng': 34.994425}"
10264,"{'lat': 32.832198, 'lng': 34.977349}"
15156,"{'lat': 32.83117, 'lng': 34.970993}"
15184,"{'lat': 32.802535, 'lng': 34.966912}"
10223,"{'lat': 32.807712, 'lng': 34.994011}"
10235,"{'lat': 32.800648, 'lng': 34.983358}"
10233,"{'lat': 32.801472, 'lng': 34.979828}"
10119,"{'lat': 32.765988, 'lng': 34.991474}"
10186,"{'lat': 32.764969, 'lng': 34.982743}"
10239,"{'lat': 32.791689, 'lng': 35.010063}"
10003,"{'lat': 32.801751, 'lng': 34.977029}"
10271,"{'lat': 32.801865, 'lng': 35.00158}"
10314,"{'lat': 32.82798, 'lng': 34.978086}"
10331,"{'lat': 32.808616, 'lng': 34.991322}"
10188,"{'lat': 32.813617, 'lng': 34.976769}"
10198,"{'lat': 32.786858, 'lng': 35.021096}"
15046,"{'lat': 32.772626, 'lng': 35.005836}"
15219,"{'lat': 32.806179, 'lng': 35.039253}"
10159,"{'lat': 32.81243, 'lng': 34.98995}"
10619,"{'lat': 32.766849, 'lng': 35.004467}"
10617,"{'lat': 32.767468, 'lng': 34.994556}"
10018,"{'lat': 32.785982, 'lng': 34.991337}"
10638,"{'lat': 32.819467, 'lng': 34.96111}"
10378,"{'lat': 32.778791, 'lng': 35.006737}"
10618,"{'lat': 32.766465, 'lng': 34.998823}"
10447,"{'lat': 32.836235, 'lng': 35.067615}"
10145,"{'lat': 32.778372, 'lng': 35.005156}"
22292,"{'lat': 32.804548, 'lng': 34.957371}"
22802,"{'lat': 32.789448, 'lng': 35.028882}"
