place_id,geo_location,type
ChIJNUENQ3m7HRURAONwqn2THiE,"{'lat': 32.8047811, 'lng': 34.9564105}",restaurant
ChIJMTinXsO7HRURN4DONv0Oi3A,"{'lat': 32.8325541, 'lng': 34.9779654}",restaurant
ChIJX7A2XsO7HRURxDK1fAlMoaQ,"{'lat': 32.8323439, 'lng': 34.9780962}",restaurant
ChIJO2RBCL67HRURE7wSUmb9-2E,"{'lat': 32.83220689999999, 'lng': 34.9783128}",restaurant
ChIJhxKndLy7HRUReHLF21MuXyw,"{'lat': 32.817409, 'lng': 34.9778821}",restaurant
ChIJv7eto8S7HRURfeTxPrlZ4wU,"{'lat': 32.832289, 'lng': 34.978425}",restaurant
ChIJTSfFsHu7HRURTKg_M2x7_Fg,"{'lat': 32.8036365, 'lng': 34.9580746}",restaurant
ChIJa-A1j4G7HRURVPdhph6-HDY,"{'lat': 32.8033242, 'lng': 34.95826810000001}",restaurant
ChIJr6PbZ1S7HRURD-QJPgPPAmI,"{'lat': 32.803219, 'lng': 34.9583922}",restaurant
ChIJVyTFSUW7HRURIZpJ606B-KA,"{'lat': 32.8032115, 'lng': 34.9584787}",restaurant
ChIJReErqWS7HRUR1veGCC8FGEg,"{'lat': 32.8004608, 'lng': 34.95647809999999}",restaurant
ChIJjwU2mtu7HRURh87_wHiFKmk,"{'lat': 32.7992252, 'lng': 34.9560025}",restaurant
ChIJ-RMgg2S7HRURnzDIyFJD2z0,"{'lat': 32.79861429999999, 'lng': 34.9564911}",restaurant
ChIJEz3FCmS7HRURDqYZHAMnl50,"{'lat': 32.79713810000001, 'lng': 34.9564362}",restaurant
ChIJe-sX1gm7HRURLPX9MCB4xGg,"{'lat': 32.7971335, 'lng': 34.9564031}",restaurant
ChIJd-owDQS7HRUResnQtNZyAVY,"{'lat': 32.7970281, 'lng': 34.9562689}",restaurant
ChIJ3VG448u7HRURKD5J0dhJ-e0,"{'lat': 32.8048941, 'lng': 34.9734614}",restaurant
ChIJcT4_FaG7HRURWqb1EZ-FwTM,"{'lat': 32.8075778, 'lng': 34.9759988}",restaurant
ChIJcQU7TWG7HRURBNrpB7BhHIk,"{'lat': 32.7952116, 'lng': 34.95615069999999}",restaurant
ChIJQTmc9AO7HRUR94T20TUKkd4,"{'lat': 32.795732, 'lng': 34.9621145}",restaurant
ChIJP5fJPMK7HRURmytHoHgOtdE,"{'lat': 32.794135, 'lng': 34.9562265}",restaurant
ChIJ_To5IxC7HRURwuRfwTC82yc,"{'lat': 32.7967381, 'lng': 34.9649017}",restaurant
ChIJ_YHw_vi7HRURVgYLzFm4a6g,"{'lat': 32.7937264, 'lng': 34.95818060000001}",restaurant
ChIJkXfIKme7HRUR3mP06rE5rZY,"{'lat': 32.7933492, 'lng': 34.95614899999999}",restaurant
ChIJ7yFS_mMPHRURAqs0L3Neags,"{'lat': 32.7933492, 'lng': 34.95614899999999}",restaurant
ChIJyRggSm67HRURcWF4nhh9CkU,"{'lat': 32.793504, 'lng': 34.958192}",restaurant
ChIJn86M1GC7HRURxC-p9GyQiv4,"{'lat': 32.7931866, 'lng': 34.95607140000001}",restaurant
ChIJrSfeh2m7HRURI29ygzmqc3o,"{'lat': 32.7936073, 'lng': 34.959218}",restaurant
ChIJ0RoCCqG7HRURwUDhTuLZqs4,"{'lat': 32.7936073, 'lng': 34.959218}",restaurant
ChIJMx4kAmS7HRURZRlyl_3uiC4,"{'lat': 32.7928845, 'lng': 34.95603409999999}",restaurant
ChIJy8-oeJu7HRURGgT3g5EhE08,"{'lat': 32.79039, 'lng': 34.95581429999999}",restaurant
ChIJXSSLVGi7HRURpPrjqBkQzbM,"{'lat': 32.7922351, 'lng': 34.9644465}",restaurant
ChIJywZV3uS7HRUR9Xs44N54X78,"{'lat': 32.7900105, 'lng': 34.9582027}",restaurant
ChIJ34jACD27HRURGAl_sN2CHTs,"{'lat': 32.7899804, 'lng': 34.9581914}",restaurant
ChIJ6YVMH2m7HRURo8PmDS7G8Zg,"{'lat': 32.791975, 'lng': 34.9650393}",restaurant
ChIJd-OvGkq7HRURobRc2RaaH9o,"{'lat': 32.78979219999999, 'lng': 34.95867239999999}",restaurant
ChIJCyCcddO7HRUR6Z85K2IuSMo,"{'lat': 32.7896512, 'lng': 34.9588636}",restaurant
ChIJnRqKgl27HRURu43Y-9yFbPk,"{'lat': 32.7896512, 'lng': 34.9588636}",restaurant
ChIJ4Vvc-Gi7HRURL4Titi77TmI,"{'lat': 32.7909935, 'lng': 34.9640775}",restaurant
ChIJZQLcveq7HRUR7TUxeqxt17Y,"{'lat': 32.790268, 'lng': 34.962283}",restaurant
ChIJK6R3IGm7HRURoJpV9Z2EUmI,"{'lat': 32.790615, 'lng': 34.9639739}",restaurant
ChIJm5WYAWm7HRURnCs6VKCkuyY,"{'lat': 32.7910579, 'lng': 34.9648533}",restaurant
ChIJjwy7x7u7HRURjfndypsVIVE,"{'lat': 32.7896489, 'lng': 34.963512}",restaurant
ChIJp2kiOmi7HRURNLwhDBvTrQ0,"{'lat': 32.7894911, 'lng': 34.9636568}",restaurant
ChIJR2BQVZa7HRURcxc1ZGwi2dU,"{'lat': 32.789535, 'lng': 34.96377700000001}",restaurant
ChIJofebvPa7HRURl1jqHLLLJyY,"{'lat': 32.7896519, 'lng': 34.9639407}",restaurant
ChIJA1ZBN2i7HRURqES8pp9vsos,"{'lat': 32.789528, 'lng': 34.9638183}",restaurant
ChIJvVMQN2i7HRURNKHiLLuP0eo,"{'lat': 32.7895579, 'lng': 34.9638721}",restaurant
ChIJL0N8Z5m7HRURNbFmHX6JSDc,"{'lat': 32.789426, 'lng': 34.963719}",restaurant
ChIJ91L2Nmi7HRUR7ql22CiaioA,"{'lat': 32.7895623, 'lng': 34.9639797}",restaurant
ChIJXSwARJO7HRURwqq25rffHpE,"{'lat': 32.7895563, 'lng': 34.96401840000001}",restaurant
ChIJVY91MGi7HRURfDaz-0gPlvA,"{'lat': 32.789269, 'lng': 34.963755}",restaurant
ChIJ28_59LO7HRURdykvTwvEdME,"{'lat': 32.7896001, 'lng': 34.9643118}",restaurant
ChIJobxINGi7HRURWYoS3oqcRfI,"{'lat': 32.7894938, 'lng': 34.964195}",restaurant
ChIJM09INGi7HRURAKPEvjbPwvg,"{'lat': 32.7894744, 'lng': 34.964195}",restaurant
ChIJ27XxFFy7HRURAX2xO9W971M,"{'lat': 32.7866623, 'lng': 34.9574178}",restaurant
ChIJjfoBQhC7HRURkT6zxa1wszE,"{'lat': 32.78961280000001, 'lng': 34.964523}",restaurant
ChIJqcddp7O7HRURgHE-TxOOrHQ,"{'lat': 32.7854385, 'lng': 34.9639854}",restaurant
ChIJwZtit2m7HRUReZVUPyxsX9o,"{'lat': 32.789739, 'lng': 34.965082}",restaurant
ChIJsW2It2m7HRURSSHS-jo0jTQ,"{'lat': 32.7895654, 'lng': 34.96513309999999}",restaurant
ChIJd2DHSRq7HRUR420TUkAsyfs,"{'lat': 32.7852485, 'lng': 34.963989}",restaurant
ChIJZ09BVuC7HRUR4Fnbbxq3lB4,"{'lat': 32.7896715, 'lng': 34.9652992}",restaurant
ChIJP31JrvK7HRURG2X4ht3YOqc,"{'lat': 32.7894818, 'lng': 34.9660582}",restaurant
ChIJcUjUlmm7HRURgpnM9qltxhY,"{'lat': 32.7895011, 'lng': 34.9661757}",restaurant
ChIJe4rBkGm7HRUREFOBpq0MS_M,"{'lat': 32.7895846, 'lng': 34.9662302}",restaurant
ChIJB5rnD-67HRURlXyqFgOBrMk,"{'lat': 32.78356060000001, 'lng': 34.9643024}",restaurant
ChIJ22oGtQm7HRURtoGBheQc3Y8,"{'lat': 32.7835344, 'lng': 34.9644335}",restaurant
ChIJVVV0gEO7HRURyQ0ggd4gaoc,"{'lat': 32.783372, 'lng': 34.9645395}",restaurant
ChIJAQBxfkS7HRURFo0UcKY1eHY,"{'lat': 32.7830751, 'lng': 34.964561}",restaurant
ChIJ86w5RGi7HRURKM-fVxfXknw,"{'lat': 32.7884018, 'lng': 34.9680603}",restaurant
ChIJ9WILYfG7HRURIjWc6MojrkY,"{'lat': 32.78702059999999, 'lng': 34.9678675}",restaurant
ChIJbycoP2q7HRURkaGuvUIwLSE,"{'lat': 32.788711, 'lng': 34.9682782}",restaurant
ChIJVVGS2sS7HRURNe129mUvNXM,"{'lat': 32.8319034, 'lng': 34.9805637}",restaurant
ChIJmT9SF9u7HRUROypWUaQ2Srs,"{'lat': 32.8346396, 'lng': 34.98017919999999}",restaurant
ChIJA_hJFRi7HRURNjHgnP9PgIc,"{'lat': 32.8319268, 'lng': 34.9808729}",restaurant
ChIJ5SCU18S7HRURze21R702uv0,"{'lat': 32.8319268, 'lng': 34.9808729}",restaurant
ChIJU4kTXgi7HRURErg7_nKgDUk,"{'lat': 32.8319321, 'lng': 34.981026299999996}",restaurant
ChIJQTmc9AO7HRURgfdWkYkcbmk,"{'lat': 32.8288991, 'lng': 34.9811166}",restaurant
ChIJr85kLMW7HRUR7Qv1TBzdIJ4,"{'lat': 32.8322462, 'lng': 34.98136470000001}",restaurant
ChIJqVMpSa27HRURXHvgwkAp_hg,"{'lat': 32.8317171, 'lng': 34.9827408}",restaurant
ChIJh7h6LMW7HRURI_vDfkOG4uQ,"{'lat': 32.83234249999999, 'lng': 34.9827384}",restaurant
ChIJvxUjLMW7HRURgzvJFjo1p7s,"{'lat': 32.832274, 'lng': 34.9829116}",restaurant
ChIJvxUjLMW7HRURwMAo157n7FE,"{'lat': 32.832274, 'lng': 34.9829116}",restaurant
ChIJ___Psdq7HRURFsC012UmyNY,"{'lat': 32.8323303, 'lng': 34.9829991}",restaurant
ChIJodQwatq7HRUR6NjFP1nEAGA,"{'lat': 32.835525, 'lng': 34.982492}",restaurant
ChIJzxwLw6S7HRURM0O1Cgybsug,"{'lat': 32.8320706, 'lng': 34.9836242}",restaurant
ChIJQ1LMnyu7HRURTAty_jqtLGI,"{'lat': 32.824576, 'lng': 34.9826494}",restaurant
ChIJixHwMRO7HRURF7bPI7mWZ_E,"{'lat': 32.8230109, 'lng': 34.9820552}",restaurant
ChIJy8OGssi7HRUR88T_eFg_UHA,"{'lat': 32.8263091, 'lng': 34.9842416}",restaurant
ChIJW29T_x-7HRURhOEGrlJfty4,"{'lat': 32.8332468, 'lng': 34.9852669}",restaurant
ChIJ7w4GWNq7HRURHZNZOjP7zcE,"{'lat': 32.8320168, 'lng': 34.9854297}",restaurant
ChIJt7OKXNC7HRURU3LCrzhfhY4,"{'lat': 32.8331563, 'lng': 34.9853678}",restaurant
ChIJp5V4XNC7HRURMgUUCZg1xn8,"{'lat': 32.8331583, 'lng': 34.9854483}",restaurant
ChIJG1nPQ8W7HRURqX6_5ugyzvI,"{'lat': 32.81310499999999, 'lng': 34.9798997}",restaurant
ChIJmaDLQ6G7HRURQiiYIKbCzOI,"{'lat': 32.8082343, 'lng': 34.97703540000001}",restaurant
ChIJkWsNP6m7HRURxgopl5UyU7k,"{'lat': 32.8083605, 'lng': 34.9856221}",restaurant
ChIJGxfxLwm7HRURhRcPdltKEFo,"{'lat': 32.7988007, 'lng': 34.980108}",restaurant
ChIJA_Sl7Wq7HRURtGHdFvTMF0k,"{'lat': 32.8006253, 'lng': 34.9822876}",restaurant
ChIJ9cArNUO7HRURcE8oOW25d_8,"{'lat': 32.7983971, 'lng': 34.9816089}",restaurant
ChIJ4Uc6RGi7HRURVggFI-PS58A,"{'lat': 32.7879648, 'lng': 34.9690023}",restaurant
ChIJYWcDEI-7HRUR-ryF7O2GckU,"{'lat': 32.7832893, 'lng': 34.9691951}",restaurant
ChIJldZoVkm7HRURBf3O-KY-i18,"{'lat': 32.772594, 'lng': 34.967609}",restaurant
ChIJ2ZPJPMK7HRURU6MK4dI_t98,"{'lat': 32.772594, 'lng': 34.967609}",restaurant
ChIJrepD8Pi7HRURY6trDe5Rgho,"{'lat': 32.7726002, 'lng': 34.9632448}",restaurant
ChIJK0g7_smkHRURoA6y_1yhyOw,"{'lat': 32.772623, 'lng': 34.9630272}",restaurant
ChIJZR59_ku7HRURw0VqjW23BhU,"{'lat': 32.7723162, 'lng': 34.9675535}",restaurant
ChIJK0g7_smkHRURXTB1y_mvSnA,"{'lat': 32.772623, 'lng': 34.9630272}",restaurant
ChIJ4_mIB0y7HRURO4OTQl1VIrc,"{'lat': 32.7720843, 'lng': 34.9673984}",restaurant
ChIJnc-dS2q7HRURl1OfyYs57EA,"{'lat': 32.77119440000001, 'lng': 34.96586219999999}",restaurant
ChIJl4VGX0y7HRUR7OXKn5ID7Q8,"{'lat': 32.77075359999999, 'lng': 34.9655927}",restaurant
ChIJD-x_oCi7HRUR8ugT_tDc5Xc,"{'lat': 32.7707322, 'lng': 34.9657449}",restaurant
ChIJsQABIUq7HRURxBnSSDTS1e4,"{'lat': 32.7711958, 'lng': 34.9711476}",restaurant
ChIJbaK1dku7HRURKh8Y46xbpP8,"{'lat': 32.7695413, 'lng': 34.9681512}",restaurant
ChIJj1nnpc27HRURd95nolwfcDc,"{'lat': 32.76890429999999, 'lng': 34.9666174}",restaurant
ChIJWYcTy-m7HRURSatEJuTYBbA,"{'lat': 32.7686968, 'lng': 34.9666554}",restaurant
ChIJrXcmp0y7HRURWYZ296Js1IY,"{'lat': 32.7686336, 'lng': 34.9668846}",restaurant
ChIJu3v0qbSkHRURsWfA7IBHE7A,"{'lat': 32.7686707, 'lng': 34.96789559999999}",restaurant
ChIJEZSq-hO7HRUR6rTIjalY2Ks,"{'lat': 32.767345399999996, 'lng': 34.96721259999999}",restaurant
ChIJfWH0qrSkHRURwRvfZe7w4Fs,"{'lat': 32.767345399999996, 'lng': 34.96721259999999}",restaurant
ChIJW_XVtLSkHRURmzm-xTZH4DM,"{'lat': 32.76726959999999, 'lng': 34.96840379999999}",restaurant
ChIJl3dPGwy7HRURv1PSxShyWa0,"{'lat': 32.7682028, 'lng': 34.9717751}",restaurant
ChIJAylGhAWlHRURMpKUq7cvdsQ,"{'lat': 32.7657898, 'lng': 34.9647507}",restaurant
ChIJ2YpfZDy7HRURIM1D_QTwZB8,"{'lat': 32.7790414, 'lng': 34.9805397}",restaurant
ChIJ0ZGBAEmlHRUR_bXDGRryogo,"{'lat': 32.764531, 'lng': 34.970853}",restaurant
ChIJt8PLqb-lHRURpu9TsetT9E8,"{'lat': 32.764531, 'lng': 34.970853}",restaurant
ChIJkRhQDrWkHRURboaObnUqS0I,"{'lat': 32.764531, 'lng': 34.970853}",restaurant
