dine_in,delivery,reservable,serves_beer,serves_breakfast,serves_brunch,serves_dinner,serves_lunch,serves_vegetarian_food,takeout,wheelchair_accessible_entrance,curbside_pickup,website,price_level,sunday_open,sunday_close,wednesday_open,wednesday_close,friday_open,friday_close,saturday_open,saturday_close,open_on_saturday,geo_location,percent of religious,socio-economic rank,store_100,store_500,rest_100,rest_500,bus_station_100,bus_station_500,type,kosher,grade
True,False,True,True,False,False,True,True,False,True,False,False,False,2.0,720.0,1380.0,720.0,1380.0,720.0,1380.0,720.0,1380.0,True,"[32.8200084, 34.9739702]",0.0,1348.667,19,36,4,7,2,28,,False,67.785
True,False,True,True,True,True,True,True,False,True,True,False,False,2.0,-1.0,-1.0,540.0,1380.0,540.0,1380.0,540.0,1380.0,True,"[32.8198992, 34.9740512]",0.0,1348.667,19,35,4,6,2,29,,False,90.0
True,True,False,False,True,False,True,True,False,True,True,False,True,2.0,540.0,1050.0,540.0,1050.0,-1.0,-1.0,-1.0,-1.0,False,"[32.8088111, 34.9605712]",0.0,1007.25,5,26,3,14,1,24,,,78.29
True,False,False,False,False,False,False,False,False,True,False,False,False,2.0,630.0,1200.0,630.0,1200.0,-1.0,-1.0,-1.0,-1.0,False,"[32.808346, 34.960191]",0.0,1049.833,5,28,3,15,2,23,,,63.073
True,False,False,False,False,False,False,False,False,True,False,False,False,2.0,-1.0,-1.0,1020.0,1230.0,-1.0,-1.0,-1.0,-1.0,False,"[32.808379, 34.9606638]",0.0,1032.8,4,27,3,14,1,24,,,61.983
True,False,False,False,False,False,False,False,False,True,False,False,False,2.0,630.0,1140.0,600.0,1200.0,600.0,960.0,-1.0,-1.0,False,"[32.8075341, 34.9612449]",0.0,973.8,0,18,0,12,0,24,חומוסייה,False,52.515
True,True,True,True,True,True,True,True,True,True,True,True,False,1.0,480.0,1080.0,480.0,1080.0,480.0,900.0,-1.0,-1.0,False,"[32.8303184, 34.9770355]",0.0,621.444,7,46,2,21,0,22,,,95.957
True,False,False,True,False,False,False,False,False,False,False,False,False,2.0,581.0,1291.0,588.0,1292.0,571.0,1116.0,766.0,1365.0,,"[32.8062029, 34.9573171]",0.0,1135.0,2,11,3,18,0,12,,,26.249
True,False,True,True,False,False,True,True,False,True,True,False,True,2.0,720.0,1440.0,720.0,1440.0,720.0,1440.0,720.0,1440.0,True,"[32.8059388, 34.9566327]",0.0,874.259,3,10,4,18,0,10,,False,82.0
True,False,True,True,True,True,True,True,False,True,True,False,True,2.0,510.0,1500.0,510.0,1500.0,510.0,1500.0,510.0,1500.0,True,"[32.8059388, 34.9566327]",0.0,1135.0,3,10,4,18,0,10,מסעדת דגים,False,74.0
True,True,True,True,False,True,True,True,True,True,False,False,True,2.0,720.0,1320.0,720.0,1320.0,720.0,1320.0,720.0,1320.0,True,"[32.8055267, 34.95652]",0.0,1135.0,3,9,4,15,0,10,מסעדה אסייאתית,False,75.747
True,True,False,False,False,False,False,True,False,True,False,False,False,2.0,660.0,1380.0,660.0,1380.0,720.0,1200.0,660.0,1380.0,True,"[32.8053632, 34.9567044]",0.0,1135.0,4,10,4,16,0,11,,False,45.5
True,False,True,True,False,False,True,True,True,True,True,True,True,2.0,720.0,1260.0,720.0,1260.0,720.0,900.0,-1.0,-1.0,False,"[32.8337313, 34.9766935]",0.0,444.0,1,41,1,20,0,9,מסעדת דגים,False,84.0
True,False,False,False,False,False,False,True,False,True,False,False,False,2.0,581.0,1291.0,588.0,1292.0,571.0,1116.0,766.0,1365.0,,"[32.8338474, 34.9767929]",0.0,444.0,1,41,1,20,0,9,מסעדת דגים,False,51.622
True,False,False,False,False,False,False,True,False,True,False,False,False,2.0,581.0,1291.0,588.0,1292.0,571.0,1116.0,766.0,1365.0,,"[32.8324958, 34.9776281]",0.0,444.0,8,45,5,24,1,15,קייטרינג,False,10.25
True,False,False,True,True,True,False,True,True,True,True,True,True,2.0,-1.0,-1.0,540.0,960.0,540.0,960.0,540.0,960.0,True,"[32.832304, 34.977924]",0.0,444.0,8,49,5,26,2,19,,False,92.0
True,False,True,True,True,True,True,True,False,True,True,False,False,2.0,510.0,1440.0,510.0,1440.0,480.0,1500.0,480.0,1500.0,True,"[32.8047811, 34.9564105]",0.0,1135.0,1,6,2,14,1,11,מסעדת בשרים,False,82.0
True,False,True,True,False,False,True,True,False,True,True,False,True,2.0,-1.0,-1.0,720.0,1380.0,720.0,1380.0,720.0,1380.0,True,"[32.8325541, 34.9779654]",0.0,444.0,7,49,5,25,2,18,מסעדת דגים,False,84.0
True,False,True,True,False,False,True,True,False,True,False,False,True,2.0,720.0,1320.0,720.0,1320.0,720.0,1320.0,720.0,1320.0,True,"[32.8322069, 34.9783128]",0.0,457.824,8,52,5,27,2,19,מסעדה ים תיכונית,False,82.819
True,False,True,True,False,False,True,True,False,True,True,False,True,2.0,720.0,1320.0,720.0,1320.0,720.0,1320.0,720.0,1320.0,True,"[32.832289, 34.978425]",0.0,457.824,9,52,5,27,1,19,מסעדה ים תיכונית,False,86.0
True,False,False,False,True,False,False,True,False,True,True,True,True,1.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,True,"[32.8036365, 34.9580746]",0.0,900.333,0,6,4,14,0,11,,False,83.999
True,False,True,True,False,False,True,True,False,True,True,False,False,2.0,660.0,1380.0,660.0,1380.0,660.0,1380.0,660.0,1380.0,True,"[32.8033242, 34.9582681]",0.0,900.333,0,6,4,14,0,11,,False,80.0
True,True,True,True,False,False,True,True,True,True,True,False,True,2.0,661.0,1320.0,661.0,1320.0,661.0,1320.0,661.0,1320.0,True,"[32.803219, 34.9583922]",0.0,621.444,0,5,4,15,0,11,,False,66.56
True,False,True,False,False,False,True,True,False,True,False,False,True,2.0,600.0,1320.0,600.0,1320.0,600.0,1320.0,600.0,1320.0,True,"[32.8032115, 34.9584787]",0.0,621.444,0,6,4,14,0,11,,False,54.983
True,False,True,True,True,True,True,True,True,True,True,False,True,2.0,510.0,1200.0,510.0,1200.0,510.0,1200.0,510.0,1200.0,True,"[32.8004608, 34.9564781]",0.0,1135.0,0,2,0,11,1,6,מסעדה איטלקית,False,82.0
True,False,False,False,False,False,False,False,False,True,False,False,False,2.0,581.0,1291.0,588.0,1292.0,571.0,1116.0,766.0,1365.0,,"[32.7992252, 34.9560025]",0.0,963.815,0,1,1,8,0,6,,,43.121
True,False,True,True,True,True,True,True,False,True,True,False,True,2.0,545.0,1320.0,545.0,1320.0,545.0,1440.0,545.0,1440.0,True,"[32.7986143, 34.9564911]",5.670457975986278,1135.0,0,1,1,8,0,6,מסעדה ים תיכונית,False,78.0
True,False,True,True,True,True,True,True,True,True,True,False,True,2.0,540.0,1140.0,540.0,1140.0,540.0,1140.0,540.0,1140.0,True,"[32.7971381, 34.9564362]",5.670457975986278,1135.0,1,5,2,18,1,9,שניצליה,True,62.0
True,False,True,True,False,False,True,True,False,True,True,False,True,2.0,1020.0,1380.0,1020.0,1380.0,600.0,1440.0,600.0,1440.0,True,"[32.7971335, 34.9564031]",5.670457975986278,1135.0,1,5,2,18,0,9,,False,68.0
True,False,True,False,False,False,True,True,False,True,False,False,False,2.0,660.0,1350.0,660.0,1350.0,660.0,1350.0,660.0,1350.0,True,"[32.7970281, 34.9562689]",5.670457975986278,1135.0,1,5,2,18,0,9,,False,36.429
True,False,False,False,False,False,False,True,False,True,False,False,True,2.0,480.0,1320.0,480.0,1320.0,480.0,1320.0,780.0,1140.0,True,"[32.8048941, 34.9734614]",5.670457975986278,1434.0,2,29,0,4,1,19,,False,51.25
True,True,False,False,False,False,False,False,False,True,False,False,True,1.0,720.0,1350.0,720.0,1350.0,-1.0,-1.0,1200.0,1350.0,False,"[32.8075778, 34.9759988]",0.0,1434.0,11,29,0,5,1,18,פיצריות,True,89.634
True,False,True,True,False,False,True,True,False,True,True,False,True,2.0,660.0,1710.0,660.0,1350.0,660.0,1350.0,660.0,1350.0,True,"[32.7952116, 34.9561507]",5.670457975986278,1135.0,0,5,1,18,0,10,,False,77.999
True,False,True,True,True,True,True,True,True,True,True,False,True,2.0,540.0,1380.0,540.0,1380.0,540.0,1380.0,540.0,1380.0,True,"[32.794135, 34.9562265]",5.670457975986278,1135.0,0,5,2,21,1,11,,False,82.0
True,True,False,False,False,False,True,True,True,True,True,False,True,2.0,600.0,1260.0,600.0,1260.0,600.0,870.0,-1.0,-1.0,False,"[32.7937264, 34.9581806]",5.670457975986278,1135.0,2,6,5,24,4,15,מסעדה אסייאתית,True,38.034
True,True,True,True,True,True,True,True,False,True,True,False,False,2.0,600.0,1470.0,600.0,1470.0,600.0,870.0,1110.0,1530.0,False,"[32.7933492, 34.956149]",5.670457975986278,1135.0,0,6,4,23,1,12,,,84.0
False,False,False,False,False,False,False,False,False,False,False,False,False,2.0,581.0,1291.0,588.0,1292.0,571.0,1116.0,766.0,1365.0,,"[32.793504, 34.958192]",5.670457975986278,1135.0,2,6,5,24,4,15,,,41.0
True,False,True,True,False,False,True,True,False,True,True,False,False,3.0,660.0,1380.0,600.0,1380.0,600.0,1380.0,660.0,1380.0,True,"[32.7931866, 34.9560714]",5.670457975986278,1135.0,0,6,3,23,1,12,מסעדה ים תיכונית,False,77.996
True,True,False,False,True,False,False,True,True,True,True,True,True,1.0,630.0,1080.0,630.0,1080.0,-1.0,-1.0,-1.0,-1.0,False,"[32.7936073, 34.959218]",5.670457975986278,1135.0,3,16,4,25,5,15,שניצליה,True,31.499
True,False,True,True,True,True,True,True,True,True,True,False,True,2.0,540.0,1500.0,540.0,1500.0,480.0,1620.0,480.0,1620.0,True,"[32.7928845, 34.9560341]",5.670457975986278,1135.0,0,6,3,23,0,12,בתי קפה,False,78.0
True,True,True,True,True,True,True,True,True,True,True,True,True,2.0,840.0,1320.0,540.0,1320.0,540.0,1380.0,540.0,1320.0,True,"[32.79039, 34.9558143]",5.670457975986278,1135.0,0,6,0,19,0,10,בתי קפה,False,86.0
True,True,False,False,False,False,False,True,True,True,True,False,True,2.0,720.0,1320.0,720.0,1320.0,-1.0,-1.0,-1.0,-1.0,False,"[32.7900105, 34.9582027]",5.670457975986278,1192.143,1,18,5,21,1,18,,,89.997
True,False,False,False,True,False,False,True,True,True,True,False,True,1.0,-1.0,-1.0,510.0,960.0,510.0,960.0,510.0,960.0,True,"[32.791975, 34.9650393]",5.670457975986278,1535.0,6,123,1,32,1,13,,False,86.0
